episode_length,total_secrecy_rate,avg_sync_cost,avg_sync_bandwidth,sync_request_rate,avg_sync_applied,avg_pending_syncs,avg_twin_quality,avg_twin_badness,avg_secrecy_rate,avg_realized_loss,avg_margin_gap,avg_cert_slack,certified_safe_rate,certificate_violation_prob,certificate_cover_rate,certificate_in_policy_cover_rate,certificate_empirical_cover_rate,certificate_margin_cover_rate,prediction_violation_prob,outage_prob,success_prob,method,seed,runtime_sec,runtime_per_slot_ms,r_min,config_path
160.0,130.90433199918857,0.11753819308276751,0.11753819308276751,0.275,0.23125,0.275,0.5483266488553163,0.45167335114468365,0.8181520749949286,1.1322306980312793,1.1241903338344554,-5.651310950899927,0.20625,0.79375,1.0,1.0,1.0,1.0,0.86875,0.48125,0.51875,security_margin,69,22.812173352999707,142.57608345624817,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,126.24503372893864,0.11753220499588286,0.11753220499588286,0.28125,0.25625,0.28125,0.5379602424275902,0.46203975757240984,0.7890314608058665,1.4616499577861053,1.4548611284834319,-4.171488560196685,0.2375,0.7625,1.0,1.0,1.0,1.0,0.89375,0.4375,0.5625,security_margin,70,22.8964441119997,143.10277569999812,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,131.04102635461075,0.11755986232972451,0.11755986232972451,0.275,0.25,0.275,0.5454904610951496,0.45450953890485035,0.8190064147163172,1.2283309699400147,1.2192261042423393,-5.235326770546676,0.20625,0.79375,1.0,1.0,1.0,1.0,0.8625,0.475,0.525,security_margin,71,22.239055101000304,138.9940943812519,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,124.7126135210546,0.11782413968793874,0.11782413968793874,0.3,0.29375,0.3,0.5575276085393122,0.44247239146068795,0.7794538345065913,1.4340817311714997,1.4305992979128548,-3.9043619135603285,0.23125,0.76875,1.0,1.0,1.0,1.0,0.925,0.41875,0.58125,security_margin,72,22.90249575100006,143.14059844375038,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,126.60438140045873,0.11874999999999998,0.11874999999999998,0.29375,0.275,0.29375,0.5453108922461711,0.4546891077538288,0.791277383752867,1.4599793822174147,1.4486244461722961,-4.081149919171119,0.225,0.775,1.0,1.0,1.0,1.0,0.8875,0.43125,0.56875,security_margin,73,22.815433073999884,142.59645671249928,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,118.46592120819282,0.11777947285487951,0.11777947285487951,0.2875,0.25625,0.2875,0.5155685861314835,0.4844314138685166,0.7404120075512052,1.6093622204793476,1.6038600838470383,-4.981094245268927,0.2125,0.7875,1.0,1.0,1.0,1.0,0.89375,0.4625,0.5375,security_margin,74,22.791233684999497,142.44521053124686,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,132.5967749700259,0.11788822841428526,0.11788822841428526,0.28125,0.225,0.28125,0.5317345712153523,0.46826542878464766,0.8287298435626619,1.2395209773282612,1.2334195004922897,-5.5970181400775765,0.1875,0.8125,1.0,1.0,1.0,1.0,0.9125,0.48125,0.51875,security_margin,75,22.883316229999764,143.02072643749852,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,137.9275574270145,0.11875,0.11875,0.30625,0.275,0.30625,0.5786172476415092,0.42138275235849065,0.8620472339188406,1.0318950872966413,1.0275573266024527,-4.36995181245299,0.21875,0.78125,1.0,1.0,1.0,1.0,0.89375,0.44375,0.55625,security_margin,76,22.192792708000525,138.70495442500328,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,127.36181174408868,0.11733445542876746,0.11733445542876746,0.29375,0.28125,0.29375,0.5592435193144621,0.4407564806855378,0.7960113234005542,1.3785647867628452,1.3719859419449294,-3.892145956468871,0.2375,0.7625,1.0,1.0,1.0,1.0,0.90625,0.425,0.575,security_margin,77,22.53593734900005,140.84960843125032,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
160.0,129.38286006758466,0.11840003754669207,0.11840003754669207,0.30625,0.2875,0.30625,0.5522472487482979,0.4477527512517021,0.8086428754224041,1.4446771545961874,1.4416507617931755,-3.94972511420276,0.23125,0.76875,1.0,1.0,1.0,1.0,0.93125,0.43125,0.56875,security_margin,78,21.567784690000735,134.7986543125046,0.6,results/final_2026-05-12/scheme_c_holdout/configs/scenario_stress_holdoutfit.yaml
